row_id,order_id,order_date,ship_date,segment,category,sub_category,product_name,region,state,city,sales,profit,discount,quantity,month,discount_bucket
1,CA-2016-152156,2016-11-08,2016-11-11,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,South,Kentucky,Henderson,261.96,41.91,0.0,2,2016-11,0%
2,CA-2016-152156,2016-11-08,2016-11-11,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Kentucky,Henderson,731.94,219.58,0.0,3,2016-11,0%
3,CA-2016-138688,2016-06-12,2016-06-16,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,West,California,Los Angeles,14.62,6.87,0.0,2,2016-06,0%
4,US-2015-108966,2015-10-11,2015-10-18,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,South,Florida,Fort Lauderdale,957.58,-383.03,0.45,5,2015-10,>20%
5,US-2015-108966,2015-10-11,2015-10-18,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,South,Florida,Fort Lauderdale,22.37,2.52,0.2,2,2015-10,10-20%
6,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,California,Los Angeles,48.86,14.17,0.0,7,2014-06,0%
7,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Office Supplies,Art,Newell 322,West,California,Los Angeles,7.28,1.97,0.0,4,2014-06,0%
8,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,West,California,Los Angeles,907.15,90.72,0.2,6,2014-06,10-20%
9,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,West,California,Los Angeles,18.5,5.78,0.2,3,2014-06,10-20%
10,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,West,California,Los Angeles,114.9,34.47,0.0,5,2014-06,0%
11,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,West,California,Los Angeles,1706.18,85.31,0.2,9,2014-06,10-20%
12,CA-2014-115812,2014-06-09,2014-06-14,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,West,California,Los Angeles,911.42,68.36,0.2,4,2014-06,10-20%
